mlbam_id,name,link,active,season
6395,Sherman Field,/api/v1/venues/6395,False,2025
6148,Pann Park,/api/v1/venues/6148,False,2025
2889,Busch Stadium,/api/v1/venues/2889,True,2025
7113,Inlet Park I,/api/v1/venues/7113,False,1913
5027,BB&T Center,/api/v1/venues/5027,False,2018
3789,Greater Nevada Field,/api/v1/venues/3789,True,2025
4781,Bush Field,/api/v1/venues/4781,False,1995
2501,Kino Veterans Memorial Stadium,/api/v1/venues/2501,True,2025
7090,Lions Field,/api/v1/venues/7090,False,1937
6091,St. Louis Cardinals DR Complex,/api/v1/venues/6091,True,2025
4792,College Park,/api/v1/venues/4792,False,1996
3161,Mahaffey Park,/api/v1/venues/3161,False,1903
7257,CarMax Park,/api/v1/venues/7257,True,2025
6258,Park de Young,/api/v1/venues/6258,False,2025
7186,Pluto Park,/api/v1/venues/7186,False,1913
7123,Gordy Park,/api/v1/venues/7123,False,1941
7083,Mercer Park,/api/v1/venues/7083,False,1943
7170,Smedley Field,/api/v1/venues/7170,False,1948
7165,Soos Park,/api/v1/venues/7165,False,1947
7124,Gary Works Field,/api/v1/venues/7124,False,1939
6163,Williamsport PA (Unknown),/api/v1/venues/6163,False,2025
7109,Lambertville Base Ball Grounds,/api/v1/venues/7109,False,1906
5204,Cleveland Arena,/api/v1/venues/5204,False,1973
7177,Riverview Field,/api/v1/venues/7177,False,1916
7081,Miami Field,/api/v1/venues/7081,False,1941
6037,TicketSmarter Stadium,/api/v1/venues/6037,True,2025
7120,Grove Street Oval I,/api/v1/venues/7120,False,1930
7184,Pynchon Park,/api/v1/venues/7184,False,1940
7027,Christian Brothers College Field,/api/v1/venues/7027,False,2025
7061,Barnett Field,/api/v1/venues/7061,False,2025
7160,State Hospital Grounds,/api/v1/venues/7160,False,1939
6971,City Stadium,/api/v1/venues/6971,False,2025
7134,Federal League Park,/api/v1/venues/7134,False,1916
7211,Recreation Park,/api/v1/venues/7211,False,2025
2394,Comerica Park,/api/v1/venues/2394,True,2025
3135,Metropolitan Stadium,/api/v1/venues/3135,False,1981
3074,Estadio Emilio Ibarra Almada,/api/v1/venues/3074,True,2025
2805,American Family Fields of Phoenix - Complex,/api/v1/venues/2805,False,2025
6097,New York Mets DR Complex,/api/v1/venues/6097,False,2025
7130,Frankfort PA (Unknown),/api/v1/venues/7130,False,1906
6101,Los Angeles Dodgers DR Complex,/api/v1/venues/6101,True,2025
7159,State School Diamond,/api/v1/venues/7159,False,1943
4777,Bulkeley Stadium,/api/v1/venues/4777,False,1952
6952,Exposition Park,/api/v1/venues/6952,False,2025
5268,Wells Fargo Arena,/api/v1/venues/5268,False,2017
6077,Guv Fuller Field,/api/v1/venues/6077,True,2025
2790,Modern Woodmen Park,/api/v1/venues/2790,True,2025
2804,RCGT Park,/api/v1/venues/2804,True,2025
2532,Scottsdale Stadium,/api/v1/venues/2532,True,2025
6252,Electric Park,/api/v1/venues/6252,False,2025
2534,Charlotte Sports Park,/api/v1/venues/2534,True,2025
5170,SaskTel Centre,/api/v1/venues/5170,False,2017
5019,American Airlines Center,/api/v1/venues/5019,False,2018
4950,Wickers Stadium,/api/v1/venues/4950,False,1975
3119,Comiskey Park,/api/v1/venues/3119,False,1990
3469,GoMart Ballpark,/api/v1/venues/3469,True,2025
2850,Four Winds Field,/api/v1/venues/2850,True,2025
3810,Coolray Field,/api/v1/venues/3810,True,2025
5160,Hartwall Arena,/api/v1/venues/5160,False,2017
6411,Glenwood Field,/api/v1/venues/6411,False,2025
2780,Hank Aaron Stadium,/api/v1/venues/2780,False,2025
5073,Rogers Arena,/api/v1/venues/5073,False,2018
7126,Grays Stadium,/api/v1/venues/7126,False,1925
2513,Space Coast Stadium,/api/v1/venues/2513,False,2017
4865,Midway Stadium,/api/v1/venues/4865,False,1960
2759,Classic Auto Group Park,/api/v1/venues/2759,True,2025
6743,Meyerrose Park,/api/v1/venues/6743,False,2025
5150,Gocheok Sky Dome,/api/v1/venues/5150,True,2025
5280,Golden 1 Center,/api/v1/venues/5280,False,2017
6205,Giants Park I,/api/v1/venues/6205,False,2025
6891,Rox Park,/api/v1/venues/6891,False,2025
2509,Chain of Lakes Park,/api/v1/venues/2509,False,2008
7019,College Hill Park,/api/v1/venues/7019,False,2025
4933,Thurman Munson Memorial Stadium,/api/v1/venues/4933,False,1996
2807,McCormick Field,/api/v1/venues/2807,True,2025
4808,Engel Stadium,/api/v1/venues/4808,False,1999
6294,Miller Field,/api/v1/venues/6294,False,2025
3155,Armory Park,/api/v1/venues/3155,False,1903
6247,Talbert Park,/api/v1/venues/6247,False,2025
7116,Greenlee Field,/api/v1/venues/7116,False,1938
4905,Rohnert Park Stadium,/api/v1/venues/4905,False,1985
6611,Maryland Park,/api/v1/venues/6611,False,2025
6393,Landis Field,/api/v1/venues/6393,False,2025
4490,Albert Park,/api/v1/venues/4490,True,2025
5172,Scotiabank Centre,/api/v1/venues/5172,False,2017
26,Veterans Stadium,/api/v1/venues/26,False,2003
4450,Estadio Municipal Pedro Roman Melendez,/api/v1/venues/4450,True,2025
5064,Pepsi Center,/api/v1/venues/5064,False,2018
2729,Arthur W. Perdue Stadium,/api/v1/venues/2729,True,2025
3569,Bowling Green Ballpark,/api/v1/venues/3569,True,2025
7166,South Norwalk CT (Unknown),/api/v1/venues/7166,False,1909
6260,Legion Field,/api/v1/venues/6260,False,2025
2957,Toros Mobil Park,/api/v1/venues/2957,True,2025
2786,Hunter Wright Stadium,/api/v1/venues/2786,True,2025
2848,Smokies Stadium,/api/v1/venues/2848,True,2025
2778,Grayson Stadium,/api/v1/venues/2778,False,2015
2858,Victory Field,/api/v1/venues/2858,True,2025
7179,Shewbridge Field,/api/v1/venues/7179,False,1935
7075,Bacharach Park,/api/v1/venues/7075,False,2025
6901,Roebling Field,/api/v1/venues/6901,False,2025
7026,City Park,/api/v1/venues/7026,False,2025
6910,Red Bird Stadium,/api/v1/venues/6910,False,2025
6809,Griffith Field,/api/v1/venues/6809,False,2025
6497,Athletic Park,/api/v1/venues/6497,False,2025
6031,Jack Cook Field,/api/v1/venues/6031,True,2025
6747,Midland PA (Unknown),/api/v1/venues/6747,False,2025
6394,Blue Grass Park,/api/v1/venues/6394,False,2025
4926,Sulphur Dell,/api/v1/venues/4926,False,1963
3551,Frasier Field,/api/v1/venues/3551,False,2009
4883,Pat Thomas Stadium,/api/v1/venues/4883,False,1968
2728,San Manuel Stadium,/api/v1/venues/2728,True,2025
5321,Estadio Francisco Villa,/api/v1/venues/5321,True,2025
6854,Unknown FL (Unknown),/api/v1/venues/6854,False,2025
5157,Dunkin' Donuts Center,/api/v1/venues/5157,False,2017
2772,Smith's Ballpark,/api/v1/venues/2772,True,2024
4825,Haliwell Park,/api/v1/venues/4825,False,1993
6892,Slatington PA (Unknown),/api/v1/venues/6892,False,2025
7082,Merchants Park,/api/v1/venues/7082,False,1936
2543,Mark Light Stadium,/api/v1/venues/2543,False,2002
5430,Magic Box,/api/v1/venues/5430,False,2025
2798,Lake Olmstead Stadium,/api/v1/venues/2798,False,2017
2767,Fifth Third Field,/api/v1/venues/2767,True,2025
6107,Cleveland Guardians DR Complex,/api/v1/venues/6107,True,2025
5261,Times Union Center,/api/v1/venues/5261,False,2017
6119,Peoria Stadium Complex (SD),/api/v1/venues/6119,True,2025
2743,Carpenter Complex,/api/v1/venues/2743,True,2025
7020,Clinton Diamond,/api/v1/venues/7020,False,2025
3929,Beto Ávila Sherwin-Williams,/api/v1/venues/3929,True,2025
7217,Brazil Development Program,/api/v1/venues/7217,True,2025
4985,Dunkin' Park,/api/v1/venues/4985,True,2025
5074,SAP Center,/api/v1/venues/5074,False,2018
4790,Colburn Park,/api/v1/venues/4790,False,1987
3111,Arlington Stadium,/api/v1/venues/3111,False,1993
5169,Rabobank Arena,/api/v1/venues/5169,False,2017
2510,Estadio Jose Bernardo Perez,/api/v1/venues/2510,True,2025
7189,Plant Field,/api/v1/venues/7189,False,1941
6193,City League Park,/api/v1/venues/6193,False,2025
4846,Laguna Park,/api/v1/venues/4846,False,1970
5275,Hank McCamish Pavilion,/api/v1/venues/5275,False,2017
7127,Fulton Park,/api/v1/venues/7127,False,1931
6650,Elks Park,/api/v1/venues/6650,False,2025
6207,Brock's Park,/api/v1/venues/6207,False,2025
7182,Rathert Stadium,/api/v1/venues/7182,False,1941
4940,Veterans Memorial Stadium,/api/v1/venues/4940,False,1988
6147,Felton Field,/api/v1/venues/6147,False,2025
5098,Xcel Energy Center,/api/v1/venues/5098,False,2018
3031,Estadio Luis Aparicio,/api/v1/venues/3031,True,2025
5077,Sleep Train Arena,/api/v1/venues/5077,False,2016
2950,Estadio Kickapoo Lucky Eagle,/api/v1/venues/2950,True,2025
2785,Hunnicutt Field,/api/v1/venues/2785,True,2025
6391,Dickson Field,/api/v1/venues/6391,False,2025
4810,Fair Grounds Field,/api/v1/venues/4810,False,2002
2833,The Ballpark at Jackson,/api/v1/venues/2833,True,2025
2726,Dan Daniel Memorial Park,/api/v1/venues/2726,True,2025
7105,Knights of Columbus Field,/api/v1/venues/7105,False,1923
4879,Olympic Stadium,/api/v1/venues/4879,False,1980
6699,Camden NJ (Unknown),/api/v1/venues/6699,False,2025
4369,Estadio Resurgimiento,/api/v1/venues/4369,False,2017
6140,York Memorial Stadium,/api/v1/venues/6140,False,2025
2742,Carl Barger Baseball Complex,/api/v1/venues/2742,False,2017
6729,Arlington NE (Unknown),/api/v1/venues/6729,False,2025
5260,Stockton Arena,/api/v1/venues/5260,False,2017
3750,Estadio Isidoro 'Cholo' Garcia,/api/v1/venues/3750,True,2025
6548,Pyott's Park,/api/v1/venues/6548,False,2025
7032,Buff Stadium,/api/v1/venues/7032,False,2025
6799,Illinois Field,/api/v1/venues/6799,False,2025
6899,Rossmere Park,/api/v1/venues/6899,False,2025
6663,Daytona City Island Ballpark,/api/v1/venues/6663,False,2025
6461,Recreation Park,/api/v1/venues/6461,False,2025
6898,Rowell Field,/api/v1/venues/6898,False,2025
2793,Frawley Stadium,/api/v1/venues/2793,True,2025
4700,Fowler Park and Cunningham Field,/api/v1/venues/4700,False,2014
5305,Kansas City Convention Center,/api/v1/venues/5305,False,2017
6662,Dean's Park,/api/v1/venues/6662,False,2025
7099,League Park,/api/v1/venues/7099,False,1947
2625,Five County Stadium,/api/v1/venues/2625,True,2025
7097,League Park,/api/v1/venues/7097,False,1940
4917,Simplot Stadium,/api/v1/venues/4917,False,1971
7181,Rebel Stadium,/api/v1/venues/7181,False,1947
4872,Municipal Stadium,/api/v1/venues/4872,False,1986
3126,Griffith Stadium,/api/v1/venues/3126,False,1961
4766,Athletic Park,/api/v1/venues/4766,False,1990
7178,Schwarz Field,/api/v1/venues/7178,False,1940
4876,Oaks Park,/api/v1/venues/4876,False,1951
7208,Terrapin Park,/api/v1/venues/7208,False,2025
4922,St. Cloud Commons,/api/v1/venues/4922,False,1995
3015,Les Murakami Stadium,/api/v1/venues/3015,True,2025
7192,Peru IN (Unknown),/api/v1/venues/7192,False,1916
5044,Gillette Stadium,/api/v1/venues/5044,False,2016
2868,Delta Dental Stadium,/api/v1/venues/2868,True,2025
4891,Point Stadium,/api/v1/venues/4891,False,1961
2837,Ripken Stadium,/api/v1/venues/2837,True,2025
7163,St. Marys OH (Unknown),/api/v1/venues/7163,False,1945
4815,Fiscalini Field,/api/v1/venues/4815,False,2004
4951,Winnipeg Stadium,/api/v1/venues/4951,False,1971
4861,Meadowbrook Park,/api/v1/venues/4861,False,1972
6299,Municipal Athletic Field,/api/v1/venues/6299,False,2025
6849,West End Park,/api/v1/venues/6849,False,2025
4765,Athletic Park,/api/v1/venues/4765,False,2002
21,Astrodome,/api/v1/venues/21,False,1999
6955,Dexter Park,/api/v1/venues/6955,False,2025
7207,North Bethlehem PA (Unknown),/api/v1/venues/7207,False,1948
3110,League Park (1904-10),/api/v1/venues/3110,False,1910
5000,CACTI Park of the Palm Beaches,/api/v1/venues/5000,True,2025
6360,Monaca High School,/api/v1/venues/6360,False,2025
3033,Estadio Br. Julio Hernandez Molina,/api/v1/venues/3033,False,2006
3159,League Park (1901-09),/api/v1/venues/3159,False,1909
7092,Lippincott Park,/api/v1/venues/7092,False,1946
3389,Dickey-Stephens Park,/api/v1/venues/3389,True,2025
2813,Trustmark Park,/api/v1/venues/2813,True,2025
4797,Danville Stadium,/api/v1/venues/4797,False,1982
3832,AL Stadium,/api/v1/venues/3832,True,2025
2841,Sam Lynn Ballpark,/api/v1/venues/2841,False,2017
7201,Passon Field,/api/v1/venues/7201,False,1939
2818,Nelson Wolff Stadium,/api/v1/venues/2818,True,2025
5295,The Battery Atlanta,/api/v1/venues/5295,False,2017
4854,Legion Stadium,/api/v1/venues/4854,False,1983
6450,Island Park,/api/v1/venues/6450,False,2025
7007,Andrews Field,/api/v1/venues/7007,False,2025
7168,Sparta IL (Unknown),/api/v1/venues/7168,False,1940
30,Busch Stadium I,/api/v1/venues/30,False,2005
4836,Honolulu Stadium,/api/v1/venues/4836,False,1975
4868,Mission Stadium,/api/v1/venues/4868,False,1964
2800,Lawrence-Dumont Stadium,/api/v1/venues/2800,False,2007
4749,Senior High Stadium,/api/v1/venues/4749,False,1969
6169,West Baden Ball Park,/api/v1/venues/6169,False,2025
7017,Downtown Park,/api/v1/venues/7017,False,2025
5198,Tarrant County Convention Center,/api/v1/venues/5198,False,1970
4629,Sloan Park,/api/v1/venues/4629,True,2025
6607,Battle Creek MI (Unknown),/api/v1/venues/6607,False,2025
7199,Pennsylvania Railroad Park,/api/v1/venues/7199,False,1948
6605,R. M. I Park,/api/v1/venues/6605,False,2025
6691,Chahinkapa Park,/api/v1/venues/6691,False,2025
6348,West Field,/api/v1/venues/6348,False,2025
6198,Sycamore Ball Park,/api/v1/venues/6198,False,2025
6371,Metropolis Field,/api/v1/venues/6371,False,2025
6241,Scottdale PA (Unknown),/api/v1/venues/6241,False,2025
7056,Clarksburg WV (Unknown),/api/v1/venues/7056,False,2025
7054,Brookside Park,/api/v1/venues/7054,False,2025
6597,Sprague Field,/api/v1/venues/6597,False,2025
4831,Henley Field,/api/v1/venues/4831,False,2016
5066,PNC Arena,/api/v1/venues/5066,False,2018
6805,Harrison Field,/api/v1/venues/6805,False,2025
4767,Baseball City Stadium,/api/v1/venues/4767,False,1992
5165,MGM Grand Garden Arena,/api/v1/venues/5165,False,2017
6559,Seaboard Park,/api/v1/venues/6559,False,2025
5485,Regency Athletic Complex,/api/v1/venues/5485,False,2020
5171,Scandinavium,/api/v1/venues/5171,False,2017
6467,Lamar Park,/api/v1/venues/6467,False,2025
2819,New Britain Stadium,/api/v1/venues/2819,False,2025
7158,Stein's Park,/api/v1/venues/7158,False,1920
7144,Unknown NJ (Unknown),/api/v1/venues/7144,False,1915
4725,Browning-Leonard Park,/api/v1/venues/4725,False,1965
6105,Cincinnati Reds DR Complex,/api/v1/venues/6105,True,2025
2949,Estadio Cruz Azul Nelson Barrera Romellón,/api/v1/venues/2949,True,2025
7140,Fair Park Stadium,/api/v1/venues/7140,False,1948
4898,Queens Park Stadium,/api/v1/venues/4898,False,1974
4843,Knoxville Municipal Stadium,/api/v1/venues/4843,False,1999
3148,South Side Park ,/api/v1/venues/3148,False,1910
2861,Whataburger Field,/api/v1/venues/2861,True,2025
3029,Estadio Universitario,/api/v1/venues/3029,True,2025
6108,Chicago White Sox DR Complex,/api/v1/venues/6108,True,2025
5251,Blue Cross Arena,/api/v1/venues/5251,False,2017
7112,J & J Dobson Field,/api/v1/venues/7112,False,1925
2796,L.P. Frans Stadium,/api/v1/venues/2796,True,2025
2771,Neuroscience Group Field,/api/v1/venues/2771,True,2025
6314,Jamaica Oval,/api/v1/venues/6314,False,2025
6727,Asbury Park High School,/api/v1/venues/6727,False,2025
5265,Valley View Casino Center,/api/v1/venues/5265,False,2017
2766,Day Air Ballpark,/api/v1/venues/2766,True,2025
6541,Katy Park,/api/v1/venues/6541,False,2025
5164,Meridian Centre,/api/v1/venues/5164,False,2017
3552,Fuessenich Park,/api/v1/venues/3552,False,2008
6349,Matanzas CU (Unknown),/api/v1/venues/6349,False,2025
7161,Stars Park,/api/v1/venues/7161,False,1931
6755,McNulty Field,/api/v1/venues/6755,False,2025
6134,Fifth Third Park,/api/v1/venues/6134,True,2025
2954,Estadio 20 de Noviembre,/api/v1/venues/2954,False,2006
4753,Texas League Park,/api/v1/venues/4753,False,1957
5300,David L. Lawrence Convention Center,/api/v1/venues/5300,False,2017
4720,Artillery Park,/api/v1/venues/4720,False,1955
6104,Detroit Tigers DR Complex,/api/v1/venues/6104,True,2025
5010,Fort Bragg Field,/api/v1/venues/5010,False,2016
2640,Chukchansi Park,/api/v1/venues/2640,True,2025
4050,Minges-Overton Baseball Complex,/api/v1/venues/4050,False,2009
6073,Clem Spillane Field,/api/v1/venues/6073,False,2025
4069,Daniel Canonico Stadium,/api/v1/venues/4069,False,2011
6960,Dwight Park,/api/v1/venues/6960,False,2025
2775,Gene Autry Park,/api/v1/venues/2775,False,2013
2503,Cashman Field,/api/v1/venues/2503,False,2025
3311,Maehara Baseball Stadium ,/api/v1/venues/3311,False,2007
6200,Sunbury PA (Unknown),/api/v1/venues/6200,False,2025
6079,Stony Brook Field,/api/v1/venues/6079,True,2025
2508,Ed Smith Stadium,/api/v1/venues/2508,True,2025
4947,Welland Sports Stadium,/api/v1/venues/4947,False,1994
6123,MB Baseball Academy,/api/v1/venues/6123,True,2025
6529,Rollins Field,/api/v1/venues/6529,False,2025
7204,Palace Park,/api/v1/venues/7204,False,1941
3270,Sportek Baseball Field,/api/v1/venues/3270,False,2007
6217,White City Park,/api/v1/venues/6217,False,2025
4735,John Affleck Park,/api/v1/venues/4735,False,1980
7066,3rd & Erie St Grounds,/api/v1/venues/7066,False,2025
5215,San Diego Sports Arena,/api/v1/venues/5215,False,1983
