pitcher_id,pitcher_name,pitch_type,count,pitch_percent,rhh_percent,lhh_percent,start_speed,max_start_speed,ivb,hb,release_pos_z,release_pos_x,extension,tj_stuff_plus
685126,Brandon Eisert,CH,154,0.2883895131086142,0.0018726591760299626,0.28651685393258425,83.7954545454545,86.4,2.655194805194805,13.696103896103892,5.0410790204506535,4.0187917763943855,7.1347681715011815,96.37220416178597
643511,Tyler Rogers,SL,117,0.2805755395683453,0.08633093525179857,0.19424460431654678,73.82649572649572,75.8,14.73162393162393,-10.673504273504276,1.3887824873894996,3.83780123250412,6.052413513907802,107.59374815702805
476594,Robert Stock,ST,5,0.0847457627118644,0.05084745762711865,0.03389830508474576,81.82000000000001,82.6,3.66,-21.54,4.600423126999114,4.444615633165995,6.153589100372049,114.68021893710787
672578,Carlos Hernández,FF,247,0.5639269406392694,0.319634703196347,0.24429223744292236,97.84291497975705,100.6,17.70566801619434,8.708502024291503,6.080296902872049,1.833370177412303,6.913630335499938,113.63749726404171
643361,Kevin Herget,CH,7,0.16666666666666666,0.09523809523809523,0.07142857142857142,81.12857142857145,82.4,14.585714285714285,13.985714285714286,6.136901814787371,1.3814916398016646,5.875168336850217,88.01618572038255
445276,Kenley Jansen,SL,34,0.0845771144278607,0.0472636815920398,0.03731343283582089,82.17647058823529,85.9,1.7558823529411764,-11.529411764705882,6.439838699151837,2.1573492487056547,6.829559668867048,105.05974302832574
656186,Dan Altavilla,FF,54,0.4186046511627907,0.21705426356589147,0.20155038759689922,95.33333333333333,97.9,14.031481481481478,11.725925925925928,5.212187373157576,2.030217825211128,5.935666037856904,98.33331485284167
642048,Tayler Saucedo,FF,3,0.03571428571428571,0.0,0.03571428571428571,90.7,91.9,15.299999999999999,8.266666666666666,5.735200982549492,1.865539648095691,6.5329487685182555,91.36370280844392
656271,Brock Burke,SL,136,0.2769857433808554,0.15071283095723015,0.12627291242362526,87.64338235294122,91.4,4.844117647058819,1.0360294117647064,6.298828481362559,2.070778251746632,6.71795444589954,101.22783656604008
608371,Lucas Sims,FC,6,0.02127659574468085,0.01773049645390071,0.0035460992907801418,90.7,92.0,9.799999999999999,-2.25,5.736790296591923,1.3478387475853826,5.962363382285829,100.11504296503573
656896,Emmanuel Rivera,CH,1,1.0,1.0,0.0,69.1,69.1,16.9,9.5,5.975528252473861,1.970752397277647,4.139462598412027,91.51446593385425
605242,Michael Fulmer,SI,8,0.12698412698412698,0.047619047619047616,0.07936507936507936,92.825,94.4,10.737499999999999,12.775000000000002,5.942636871691983,2.3017355516656814,6.541318633049535,94.1321617325246
699134,Bradgley Rodriguez,FF,10,0.4,0.28,0.12,97.64,98.5,16.71,9.23,5.8948645854786985,0.5575917832229541,6.291379307800755,103.95047084793994
678606,Jose A. Ferrer,SL,51,0.0897887323943662,0.08274647887323944,0.007042253521126761,89.47647058823532,93.7,4.947058823529413,0.3921568627450981,5.718826243182872,3.2265212321654726,5.887743129186787,103.18973355820681
685801,Hunter Bigge,CU,13,0.05726872246696035,0.04405286343612335,0.013215859030837005,81.65384615384617,83.8,-15.353846153846156,-5.861538461538462,5.634940832789336,0.20447707999852002,6.998776715396338,101.04493002057113
677161,Zack Kelly,CH,39,0.13448275862068965,0.1206896551724138,0.013793103448275862,83.19999999999999,85.7,1.3923076923076922,18.6,5.379199269740998,2.826727176251722,7.15072769951249,97.81833968183585
680730,Mitchell Parker,FF,672,0.5526315789473685,0.1455592105263158,0.40707236842105265,92.72723214285716,95.8,18.236309523809524,5.088541666666668,6.373593395123102,1.273831131231169,6.856566863414174,94.9389221172573
686799,Jack Kochanowicz,FF,212,0.1840277777777778,0.12760416666666666,0.05642361111111111,95.66367924528302,99.1,13.926886792452827,7.6570754716981115,6.000428537938458,1.9267529288469303,6.4649102296369465,94.66665833486014
676130,José Buttó,ST,55,0.09228187919463088,0.04194630872483222,0.050335570469798654,83.55454545454543,85.7,-4.943636363636363,-12.470909090909092,5.449036218640736,2.292365658285067,6.199316826705498,103.48455768960498
669391,Owen White,CU,2,0.028169014084507043,0.028169014084507043,0.0,77.35,78.0,-14.2,-12.35,6.140808028900797,1.3851420020856913,6.395589430251188,100.14510919278779
676092,Collin Snider,SI,23,0.04821802935010482,0.018867924528301886,0.029350104821802937,93.16956521739131,95.2,6.569565217391304,9.004347826086956,5.141664317202458,3.208184688545002,5.999531370878331,91.98994726817936
607192,Tyler Glasnow,SI,38,0.12459016393442623,0.04918032786885246,0.07540983606557378,95.15526315789475,98.3,14.331578947368424,11.550000000000002,5.924627803132954,1.7165680866881952,7.623775084656103,103.3935357688943
600917,José Leclerc,FF,78,0.3466666666666667,0.13333333333333333,0.21333333333333335,94.21025641025642,96.6,17.721794871794874,1.6102564102564099,5.93514675422103,1.6279657426815832,5.550246482437055,105.15477793169667
605242,Michael Fulmer,CU,8,0.12698412698412698,0.0,0.12698412698412698,80.275,81.3,-6.687499999999999,-17.2,5.995396654511223,2.4180661935956103,6.519100953314769,100.72567662880425
678215,Luarbert Arias,SL,92,0.4791666666666667,0.17708333333333334,0.3020833333333333,82.37934782608693,85.1,4.025,-4.285869565217391,6.059077116520219,0.8408713658295616,6.1036010532320475,100.66686932514882
672282,Reid Detmers,FF,264,0.4656084656084656,0.10582010582010581,0.35978835978835977,95.20946969696963,98.6,18.190909090909088,7.660227272727274,5.974916140098415,1.2095917536613545,6.319932858435695,102.17037950013781
